,time,speed,i
418,13.84,3004.2226202479183,96.39450201215406
419,13.854,3002.2481437189517,90.30814994740896
420,14.035,3064.722836867367,114.37186709434866
421,14.101,3129.7835625678094,90.528472289008
422,14.151,3056.2775396975635,63.13166817098636
423,14.183,2974.702231700415,60.22783521113964
424,14.21,2922.0797624761763,74.08764741431791
425,14.245,2888.8030604244373,87.95537611807133
426,14.283,2887.2409278447785,98.98969261610243
427,14.309,2901.2343876951704,104.82701485261916
428,14.329,2920.630851504017,108.95536675028718
429,14.353,2950.761236444011,112.99219347250994
430,14.394,3012.1672089391477,107.84930035899109
431,14.422,3015.4440131741353,88.21929463819136
432,14.447,2986.3673925898083,73.18831786393397
433,14.473,2938.0516656873833,67.1328766835246
434,14.499,2897.3372543035393,79.66713304706735
435,14.52,2881.271812012346,87.60003693144117
436,14.565,2881.5725895072405,100.26328101276593
437,14.596,2903.561532692167,107.1718721408876
438,14.618,2928.229257433669,111.20691785211193
439,14.654,2976.132270864266,115.99815483181173
440,14.685,3026.3124668317823,109.28474779151405
441,14.742,3008.4489249602966,75.6805788541991
442,14.768,2962.3079047820283,69.05098606064878
443,14.803,2916.5274878510204,84.18457975875523
444,14.83,2905.0808056402743,92.89026057295689
445,14.873,2916.678030368094,103.50777167911319
446,14.919,2964.3006159516804,112.2827473125288
447,14.966,3005.5508721642773,94.26337276092887
448,15.004,2972.2677930844857,72.83656928126553
449,15.029,2926.9054365578754,70.4865250506768
450,15.053,2894.3593946421784,81.31237231623751
451,15.084,2878.001521808413,92.15580301787911
452,15.122,2887.9891108444403,102.68947300458792
453,15.139,2902.291012387754,106.6860678197047
454,15.17,2937.8718914687515,112.28060032677446
455,15.186,2964.8596718325825,114.9942356354835
456,15.203,2993.673179628924,111.09289950679059
457,15.219,3005.4017021682002,98.70909099791669
458,15.235,3001.269509028289,87.40419496652672
459,15.258,2976.9966719278455,80.70098473549604
460,15.28,2958.537978774917,89.18321682675189
461,15.305,2954.3413623808924,97.44566752622245
462,15.327,2963.7294593118163,103.32047865717884
463,15.346,2981.7940377663967,107.92416472866373
464,15.388,3024.8109904882135,105.23750826232974
465,15.421,3021.3932334194355,85.17691582962114
466,15.459,2973.0491686031382,66.7304253871905
467,15.488,2936.5617867264955,62.1469114721367
468,15.522,2880.3869180817373,78.54133957687836
469,15.563,2857.787741893936,93.3882450649803
470,15.583,2862.7612032062266,99.96158953630837
471,15.627,2900.1485410326395,109.77043242045218
472,15.651,2933.2045447918754,113.85764344501396
473,15.673,2973.5491749809353,116.13931759918275
474,15.689,2999.751875488164,109.37364503280175
475,15.704,3009.0197626028826,97.81253532956332
476,15.725,3000.8332395386055,84.3342599674846
477,15.759,2955.7947295712333,74.42224266724351
478,15.774,2937.056103670946,80.63739264862977
479,15.804,2916.925727929559,92.37613030060584
480,15.835,2923.952727737977,102.04012642631432
481,15.883,2972.1041562267374,111.88938090288143
482,15.905,3000.6164899704736,105.60540928421945
483,15.928,3003.616038856952,90.46072126760767
484,15.975,2948.0690968030913,66.07907603738025
485,16.002,2892.0111183472754,65.16755607260225
486,16.039,2840.709038404417,82.33922817678459
487,16.076,2829.46066194839,96.06540087925273
488,16.11,2853.1094885243824,106.22380769220732
489,16.141,2896.587494509097,112.99538002110494
490,16.167,2944.9049159837127,117.25026442221873
491,16.193,3001.029792912156,114.01673022930895
492,16.241,3007.4632904417635,83.12855326856203
493,16.281,2963.7943192400085,67.07579955179776
494,16.323,2883.6682816149896,56.260974972104655
495,16.352,2830.5193169147474,70.73396465965389
496,16.385,2798.268882707957,83.72903933900065
497,16.409,2790.258762540379,92.76763597096856
498,16.425,2792.799293941583,97.34592080099074
499,16.443,2803.405566871245,102.69635648055913
500,16.458,2819.744006486869,106.99639681404712
501,16.503,2882.148045871617,115.307872451633
502,16.544,2958.207327823497,120.37842494545342
503,16.594,3039.357147561417,100.805202160506
504,16.643,2991.108130796419,68.60026749844297
505,16.711,2835.8297450398686,60.62257369018829
506,16.726,2809.1600847102895,68.17145397109586
507,16.747,2781.3507874059796,78.0124888804331
508,16.779,2764.0828092890797,89.26308568238923
509,16.831,2777.4083572529253,102.79477400921272
510,16.864,2812.854691895886,110.36064017573838
511,16.885,2843.7719418589345,114.17502343633471
512,16.9,2869.6667344008256,116.54306480501653
513,16.934,2936.733196489257,120.7764702817764
514,16.969,3018.401292443625,115.47288298674682
515,16.998,3036.1091435974968,92.18761157867802
516,17.027,3004.2630167525326,73.3959803130157
517,17.056,2943.5293391124665,65.88866042231068
518,17.088,2893.517491454384,81.48023079233094
519,17.166,2889.9351763186214,103.51300264751956
520,17.194,2912.077311237862,108.67328129625912
521,17.238,2963.4486142748847,114.9078049602059
522,17.279,3018.4089871880683,108.85723491234745
523,17.325,2999.849003501883,75.45290456170545
524,17.373,2895.4982567168836,62.46599856750029
525,17.42,2829.1741329265965,85.24595982375833
526,17.448,2823.0321784873345,95.37411342932053
527,17.475,2837.5087114911694,103.63985763464059
528,17.526,2901.115922972395,114.09987689244677
529,17.55,2943.1198066570805,117.553407028995
530,17.57,2976.742871940024,109.47194563295338
531,17.601,2984.2942576380037,89.23103790146725
532,17.624,2965.2790366407953,81.97451826583543
533,17.635,2955.2436723558653,86.38496252202034
534,17.691,2953.585787303079,102.29432573673834
535,17.737,2998.4541269115866,111.57617731934612
536,17.765,3036.267432904377,108.00096392376209
537,17.793,3038.577769083549,87.92316344227618
538,17.818,3012.80001586685,74.40109637795184
539,17.849,2956.689029565441,71.91531990584312
540,17.873,2924.4585374121116,82.68725747760729
541,17.897,2910.313421468313,91.55993350458331
542,17.919,2911.0138031834904,98.43477003043218
543,17.95,2931.2543046718297,106.35272410688421
544,18.011,3012.554341820381,116.2583100840523
545,18.035,3059.3340069192577,113.42642606331273
546,18.07,3068.6721207895353,88.3148033097329
547,18.106,3012.349039347214,66.01946929038475
548,18.172,2862.62264851683,51.22518440472661
549,18.203,2822.2877455581734,61.47068265099472
550,18.232,2779.957916138058,74.61718525565253
551,18.279,2753.8559776669845,92.52197137718306
552,18.35,2807.72776472319,110.91461773161735
553,18.392,2877.721536032948,117.86366113817147
554,18.424,2936.5818183926813,121.25415180270191
555,18.478,3054.977388908429,114.5905484987173
556,18.513,3070.8183941981943,98.990767134149
557,18.566,3011.860588304739,66.41623289120206
558,18.669,2803.710194424452,55.37633746920495
559,18.687,2766.402987347277,65.74982252195912
560,18.704,2740.5026596400116,74.62182766949827
561,18.723,2723.2427469726754,83.19002435514979
562,18.762,2719.966504081625,96.8298756609667
563,18.78,2730.5909131826784,102.119354973959
564,18.818,2771.6752625592885,110.86340459337701
565,18.858,2822.163786540442,116.4207121375788
566,18.896,2915.72383864385,122.17573007174244
567,18.922,2981.7615005546154,118.49479104722904
568,18.95,3008.2131626305268,94.90672319200036
569,18.981,2979.1663787409275,74.36785026426926
570,19.012,2916.6131689072517,64.51462114937601
571,19.057,2859.4717151691166,83.28379707878847
572,19.089,2848.5500302204264,92.43700200748303
573,19.115,2852.629811678384,99.40195254182159
574,19.152,2877.711329321168,107.41632130549152
575,19.185,2922.7850960212772,113.73443748747188
576,19.224,2978.5030337587596,118.11704059081308
577,19.259,3048.371889751686,110.57410784227322
578,19.287,3053.7175899336494,88.13965142597986
579,19.322,3005.0181023382393,67.74435234615784
580,19.369,2914.11549655114,66.69993254644321
581,19.446,2853.5911491641496,93.15025631360662
582,19.523,2910.1084331929046,111.72843784865871
583,19.566,2977.2873354901494,117.70723757764287
